timestamp,ss.x,ss.y,ss.z,Dist,Bend
1702643130.2814085,25442,21346,36063,19.36,4.21
1702643885.9372668,25561,20470,36137,14.85,6.19
1702643139.3807168,25790,6949,36131,19.31,10.21
1702643130.2814085,25478,21390,36254,19.36,4.21
1702643130.2814085,25450,21395,36053,19.36,4.21
1702643158.5624733,25867,7935,36070,28.35,6.25
1702643130.2814085,25450,21346,36063,19.36,4.21
1702643158.5624733,25899,7969,35983,28.35,6.25
1702643139.3807168,25764,6862,36148,19.31,10.21
1702643885.9372668,25589,20417,36142,14.85,6.19
1702643885.9372668,25561,20426,36104,14.85,6.19
1702643139.3807168,25801,6931,36030,19.31,10.21
1702643885.9372668,25603,20519,36019,14.85,6.19
1702643130.2814085,25426,21304,35874,19.36,4.21
1702643885.9372668,25681,20519,36019,14.85,6.19
1702643139.3807168,25806,6882,36187,19.31,10.21
1702643130.2814085,25458,21390,36254,19.36,4.21
1702643139.3807168,25682,6952,36110,19.31,10.21
1702643158.5624733,25824,8001,36003,28.35,6.25
1702643139.3807168,25806,6931,36030,19.31,10.21
1702643139.3807168,25801,6837,36166,19.31,10.21
1702643158.5624733,25899,7969,35983,28.35,6.25
1702643130.2814085,25458,21381,36031,19.36,4.21
1702643158.5624733,25866,7916,36040,28.35,6.25
1702643885.9372668,25677,20470,36137,14.85,6.19
1702643885.9372668,25603,20375,36230,14.85,6.19
1702643158.5624733,25846,8001,36003,28.35,6.25
1702643139.3807168,25682,6952,36110,19.31,10.21
1702643158.5624733,25862,7969,35983,28.35,6.25
1702643119.1651123,25468,20786,36045,14.85,6.19
1702643139.3807168,25800,6918,36085,19.31,10.21
1702643130.2814085,25442,21352,36144,19.36,4.21
1702643885.9372668,25589,20464,36193,14.85,6.19
1702643158.5624733,25846,7858,36093,28.35,6.25
1702643158.5624733,25824,8001,36140,28.35,6.25
1702643139.3807168,25800,6837,36166,19.31,10.21
1702643885.9372668,25656,20426,36193,14.85,6.19
1702643130.2814085,25458,21381,36254,19.36,4.21
1702643139.3807168,25800,6837,36085,19.31,10.21
1702643139.3807168,25790,6862,36148,19.31,10.21
1702643885.9372668,25556,20422,36077,14.85,6.19
1702643139.3807168,25764,6918,36085,19.31,10.21
1702643130.2814085,25478,21395,36053,19.36,4.21
1702643158.5624733,25899,7935,36070,28.35,6.25
1702643130.2814085,25426,21346,36159,19.36,4.21
1702643139.3807168,25682,6882,36187,19.31,10.21
1702643885.9372668,25656,20426,36104,14.85,6.19
1702643158.5624733,25846,7858,36093,28.35,6.25
